,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,净资产收益率,公告日期,trade_date,time_distance,tier,last_period,code,period,ROE,roedf,rnk
9,300540,2019-12-31,2174,蜀道装备,2020-04-22,2020-04-30,,,2020-04-30,112.412714401932,14491884.31,2.62,2020-02-17,2020-02-18,64 days,1,2018-12-31,300540,2018-12-31,-21.75,24.37,0
3,002617,2019-12-31,3001,露笑科技,2020-04-28,,,,2020-04-28,104.133249599652,40974964.07,1.48,2020-01-23,2020-02-18,70 days,1,2018-12-31,002617,2018-12-31,-61.78,63.26,1
4,300019,2019-12-31,1043,硅宝科技,2020-03-31,,,,2020-03-31,102.083630808441,131620100.0,15.97,2020-01-20,2020-02-18,42 days,1,2018-12-31,300019,2018-12-31,8.59,7.380000000000001,2
2,002616,2019-12-31,1020,长青集团,2020-03-31,2020-04-28,,,2020-04-28,77.211656389708,295611620.58,13.08,2020-02-12,2020-02-18,42 days,1,2018-12-31,002616,2018-12-31,7.89,5.19,3
7,300424,2019-12-31,1640,航新科技,2020-04-15,2020-04-28,,,2020-04-28,50.676710890384,75793115.87,7.64,2020-02-17,2020-02-18,57 days,1,2018-12-31,300424,2018-12-31,5.27,2.37,4
1,002582,2019-12-31,2591,好想你,2020-04-25,,,,2020-04-25,48.661256380987,192622682.74,5.76,2020-02-15,2020-02-18,67 days,1,2018-12-31,002582,2018-12-31,3.88,1.88,5
8,300529,2019-12-31,1243,健帆生物,2020-04-02,,,,2020-04-02,41.896717847007,570396365.4,30.28,2020-02-05,2020-02-18,44 days,1,2018-12-31,300529,2018-12-31,23.67,6.609999999999999,6
10,300755,2019-12-31,2472,华致酒行,2020-04-24,,,,2020-04-24,41.233518004069,317595674.39,13.83,2020-02-04,2020-02-18,66 days,1,2018-12-31,300755,2018-12-31,16.67,-2.8400000000000016,7
12,601366,2019-12-31,1473,利群股份,2020-04-10,2020-04-29,,,2020-04-29,37.453359847225,277760361.6,5.9,2020-01-16,2020-02-18,52 days,1,2018-12-31,601366,2018-12-31,4.42,1.4800000000000004,8
6,300263,2019-12-31,3087,隆华科技,2020-04-28,,,,2020-04-28,32.26752854129,179672974.88,6.73,2020-01-16,2020-02-18,70 days,1,2018-12-31,300263,2018-12-31,5.24,1.4900000000000002,9
0,002392,2019-12-31,2800,北京利尔,2020-04-27,,,,2020-04-27,26.061451347714,419884840.95,11.56,2020-01-17,2020-02-18,69 days,1,2018-12-31,002392,2018-12-31,9.68,1.8800000000000008,10
5,300212,2019-12-31,2045,易华录,2020-04-21,,,,2020-04-21,25.773834990587,380400700.0,11.84,2020-02-17,2020-02-18,63 days,1,2018-12-31,300212,2018-12-31,10.01,1.83,11
13,603058,2019-12-31,226,永吉股份,2020-03-13,2020-04-20,,,2020-04-20,22.438173946559,136595700.0,15.8,2020-02-04,2020-02-18,24 days,1,2018-12-31,603058,2018-12-31,11.97,3.83,12
11,600325,2019-12-31,1791,华发股份,2020-04-17,,,,2020-04-17,20.008034622156,2741420100.0,21.36,2020-01-20,2020-02-18,59 days,1,2018-12-31,600325,2018-12-31,15.36,6.0,13
