,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,净资产收益率,公告日期,trade_date,time_distance,tier,last_period,code,period,ROE,roedf,rnk
18,605168,2020-06-30,240,三人行,2020-08-07,,,,2020-08-07,127.755605403799,102721503.39,17.34,2020-07-11,2020-07-30,8 days,3,2019-06-30,605168,2019-06-30,19.79,-2.4499999999999993,0
17,603890,2020-06-30,754,春秋电子,2020-08-19,,,,2020-08-19,426.935775988878,136899734.48,8.62,2020-07-08,2020-07-30,20 days,2,2019-06-30,603890,2019-06-30,1.87,6.749999999999999,1
14,603259,2020-06-30,420,药明康德,2020-08-14,,,,2020-08-14,62.492113884078,1717155400.0,9.4,2020-07-21,2020-07-30,15 days,2,2019-06-30,603259,2019-06-30,5.95,3.45,2
12,600603,2020-06-30,494,广汇物流,2020-08-15,,,,2020-08-15,37.313432835821,276000000.0,5.09,2020-07-24,2020-07-30,16 days,2,2019-06-30,600603,2019-06-30,3.28,1.81,3
10,600183,2020-06-30,322,生益科技,2020-08-11,,,,2020-08-11,31.488498391988,826867000.0,9.22,2020-07-29,2020-07-30,12 days,2,2019-06-30,600183,2019-06-30,9.13,0.08999999999999986,4
16,603363,2020-06-30,889,傲农生物,2020-08-20,,,,2020-08-20,1539.70428526902,350835188.62,23.96,2020-07-14,2020-07-30,21 days,1,2019-06-30,603363,2019-06-30,2.63,21.330000000000002,5
5,002623,2020-06-30,1123,亚玛顿,2020-08-22,,,,2020-08-22,619.329544986198,40478275.35,1.91,2020-07-28,2020-07-30,23 days,1,2019-06-30,002623,2019-06-30,-0.35,2.26,6
15,603301,2020-03-31,3587,振德医疗,2020-04-30,,,,2020-04-30,180.625261395836,85912862.61,6.13,2020-04-27,2020-07-30,-91 days,1,2019-03-31,603301,2019-03-31,2.75,3.38,7
8,300059,2020-06-30,1132,东方财富,2020-08-22,2020-08-12,,,2020-08-12,107.689394288719,1808506658.2,7.87,2020-07-28,2020-07-30,23 days,1,2019-06-30,300059,2019-06-30,4.3,3.5700000000000003,8
6,002863,2020-06-30,2599,今飞凯达,2020-08-28,,,,2020-08-28,37.510892487922,26669000.0,2.52,2020-07-21,2020-07-30,29 days,1,2019-06-30,002863,2019-06-30,1.82,0.7,9
13,601555,2020-06-30,1219,东吴证券,2020-08-22,,,,2020-08-22,37.328115980037,1030536000.0,4.25,2020-07-25,2020-07-30,23 days,1,2019-06-30,601555,2019-06-30,3.64,0.6099999999999999,10
1,002080,2020-06-30,786,中材科技,2020-08-20,,,,2020-08-20,34.932244765866,884308996.45,7.29,2020-07-08,2020-07-30,21 days,1,2019-06-30,002080,2019-06-30,5.94,1.3499999999999996,11
4,002553,2020-06-30,2538,南方精工,2020-08-28,,,,2020-08-28,30.351092023583,36184509.81,5.22,2020-07-20,2020-07-30,29 days,1,2019-06-30,002553,2019-06-30,4.08,1.1399999999999997,12
7,002978,2020-06-30,811,安宁股份,2020-08-20,,,,2020-08-20,27.507722585273,353748500.0,13.88,2020-07-16,2020-07-30,21 days,1,2019-06-30,002978,2019-06-30,,,13
19,688069,2020-06-30,3603,德林海,2020-08-29,,,,2020-08-29,26.990843851892,44220000.0,,2020-07-06,2020-07-30,30 days,1,2019-06-30,688069,2019-06-30,14.02,,14
11,600572,2020-06-30,1012,康恩贝,2020-08-21,,,,2020-08-21,24.309906376324,484526700.0,9.93,2020-07-21,2020-07-30,22 days,1,2019-06-30,600572,2019-06-30,7.3,2.63,15
0,000591,2020-03-31,1848,太阳能,2020-04-29,,,,2020-04-29,23.117686406964,154658600.49,1.15,2020-04-18,2020-07-30,-92 days,1,2019-03-31,000591,2019-03-31,0.98,0.16999999999999993,16
3,002373,2020-06-30,1669,千方科技,2020-08-26,2020-08-20,,,2020-08-20,22.79873974399,459641700.0,4.97,2020-07-10,2020-07-30,27 days,1,2019-06-30,002373,2019-06-30,4.49,0.47999999999999954,17
2,002318,2020-06-30,1337,久立特材,2020-08-25,,,,2020-08-25,20.760495526119,254737931.05,7.36,2020-07-16,2020-07-30,26 days,1,2019-06-30,002318,2019-06-30,6.74,0.6200000000000001,18
9,300068,2020-06-30,2110,南都电源,2020-08-27,,,,2020-08-27,20.432046837996,303216596.13,4.54,2020-07-29,2020-07-30,28 days,1,2019-06-30,300068,2019-06-30,3.96,0.5800000000000001,19
